,LP-Test,BDB2020+,EGFR,MPro,Peptide-Holdout,Mean,STD
NLL-ENS,24.407,12.607,7.702,7.295,22.105,14.823,7.172
NLL-MC,4.556,2.396,1.632,1.527,5.085,3.039,1.494
NLL-LA,1.986,1.715,1.517,1.78,2.21,1.842,0.237
NLL-Bayes,2.099,1.827,1.665,2.0,2.28,1.974,0.213
NLL-ENN,2.785,2.008,1.77,1.924,4.017,2.501,0.835
SP-ENS,0.148,-0.032,0.313,-0.3,0.211,0.068,0.216
SP-MC,0.077,-0.116,0.114,0.165,0.227,0.093,0.116
SP-LA,0.25,0.277,0.096,0.029,0.203,0.171,0.094
SP-Bayes,0.052,0.048,0.305,0.196,0.245,0.169,0.103
SP-ENN,-0.023,0.17,-0.04,-0.118,0.051,0.008,0.097
Sh-ENS,0.275,0.279,0.229,0.299,0.365,0.289,0.044
Sh-MC,0.699,0.728,0.694,0.747,0.832,0.74,0.05
Sh-LA,2.166,1.879,1.605,2.235,2.837,2.144,0.412
Sh-Bayes,1.933,1.912,1.809,2.203,2.338,2.039,0.198
Sh-ENN,1.276,1.232,1.132,0.965,1.467,1.214,0.165
MACE-ENS,0.397,0.312,0.318,0.307,0.407,0.348,0.044
MACE-MC,0.267,0.131,0.17,0.099,0.302,0.194,0.078
MACE-LA,0.041,0.155,0.156,0.24,0.062,0.131,0.072
MACE-Bayes,0.014,0.134,0.117,0.058,0.032,0.071,0.047
MACE-ENN,0.149,0.126,0.114,0.052,0.219,0.132,0.054
CMACE-ENS,0.217,0.137,0.152,0.12,0.234,0.172,0.045
CMACE-MC,0.063,0.106,0.111,0.148,0.115,0.109,0.027
CMACE-LA,0.033,0.088,0.081,0.174,0.022,0.08,0.054
CMACE-Bayes,0.024,0.114,0.096,0.053,0.056,0.069,0.032
CMACE-ENN,0.041,0.028,0.053,0.063,0.12,0.061,0.032
RMSCE-ENS,0.457,0.353,0.377,0.347,0.468,0.4,0.052
RMSCE-MC,0.3,0.152,0.181,0.114,0.341,0.218,0.088
RMSCE-LA,0.047,0.172,0.178,0.273,0.073,0.149,0.081
RMSCE-Bayes,0.017,0.155,0.136,0.068,0.035,0.082,0.055
RMSCE-ENN,0.167,0.139,0.125,0.062,0.246,0.148,0.06
CRMSCE-ENS,0.291,0.164,0.202,0.139,0.308,0.221,0.068
CRMSCE-MC,0.085,0.119,0.136,0.17,0.135,0.129,0.028
CRMSCE-LA,0.038,0.097,0.098,0.199,0.025,0.091,0.062
CRMSCE-Bayes,0.031,0.132,0.111,0.065,0.063,0.08,0.036
CRMSCE-ENN,0.048,0.035,0.062,0.077,0.133,0.071,0.034
MCA-ENS,0.401,0.316,0.321,0.31,0.411,0.352,0.045
MCA-MC,0.27,0.133,0.171,0.1,0.305,0.196,0.079
MCA-LA,0.042,0.157,0.158,0.242,0.063,0.132,0.072
MCA-Bayes,0.014,0.136,0.118,0.058,0.033,0.072,0.048
MCA-ENN,0.15,0.127,0.115,0.052,0.221,0.133,0.055
CMCA-ENS,0.219,0.138,0.153,0.121,0.236,0.173,0.046
CMCA-MC,0.064,0.107,0.112,0.149,0.116,0.11,0.027
CMCA-LA,0.034,0.089,0.081,0.176,0.022,0.08,0.054
CMCA-Bayes,0.024,0.115,0.097,0.053,0.057,0.069,0.033
CMCA-ENN,0.041,0.028,0.053,0.063,0.121,0.061,0.032
