PDBID,Y,Y_mean,Y_var
5SDZ,7.853872,7.494761,6.9942975
5SE0,7.3565474,5.927055,1.4607025
5SE1,9.886057,7.3387756,2.3210084
5SE5,7.552842,5.3134365,3.7745476
5SE9,9.187087,6.4435563,3.5685492
5SEB,4.6763725,7.7674417,3.1231701
5SEF,8.366531,7.1873813,9.647815
5SEJ,3.60206,6.117967,4.705694
5SEM,7.1870866,5.1786394,5.6962934
5SEQ,8.091515,7.4657245,3.1909294
5SET,3.7746906,4.8697186,2.688531
5SEW,6.6699924,6.838909,2.9887874
5SF1,8.086186,8.219907,4.771967
5SF4,8.309804,8.0662985,4.1343355
5SF6,8.449772,4.463425,2.0412138
5SF8,6.0017405,3.0964665,7.8701587
5SFB,8.309804,5.792074,1.2628005
5SFD,7.9800534,4.61941,3.6340446
5SFF,5.686133,5.726064,6.5848308
5SFH,7.9706163,7.9044986,1.8045965
5SFI,7.070581,5.8909144,3.4308577
5SFL,8.30103,8.4976225,3.3885412
5SFN,8.69897,7.8607073,4.3372436
5SFS,9.0,8.148787,0.62942475
5SFT,7.5016894,8.573179,12.0824
5SFU,8.920818,8.099582,3.656988
5SFW,7.7281585,8.179812,7.3861094
5SG1,7.0565057,8.539272,6.00643
5SG6,7.8632793,7.4515,3.2548442
5SG9,8.508638,8.762622,5.049365
5SGN,7.7144427,7.08028,2.698682
5SGT,8.677781,8.322234,0.3232746
5SGX,8.346787,9.0894575,3.7296176
5SH3,8.346787,8.617437,2.9411821
5SH9,8.537602,8.798515,2.196191
5SHA,8.09691,5.4898987,3.594663
5SHD,7.79588,7.8476,5.79461
5SHT,9.327902,9.428091,2.5565963
5SIB,7.0604806,8.609316,1.6805354
5SIJ,8.823909,8.080413,4.566678
5SJG,8.508638,6.871704,5.1310444
5SJL,6.539102,7.557912,7.568742
5SJS,4.225483,4.924686,1.9029073
5SKK,7.3740706,6.5855966,4.602566
5SKV,8.239577,9.0554,9.993697
6LR4,7.211761,8.505258,1.0851207
6M2B,8.571865,9.501157,2.6595106
6TRX,7.202871,8.655749,4.5680094
6VNE,7.428757,8.813629,2.210421
6WTN,8.02641,9.746953,4.5479918
6X0T,7.499626,9.535912,4.0440283
6ZY5,8.309804,8.345395,2.3543
7B91,7.534617,8.8829155,5.339969
7CA8,7.9726505,8.231288,1.9779468
7CKY,8.262807,7.834213,3.5291486
7CMU,7.5625668,7.9626136,3.5522187
7CMV,7.317855,7.825372,1.5401921
7CX2,6.275724,6.969781,1.7901917
7DFL,7.4089355,7.5571046,1.8809904
7DMC,7.732828,7.720624,2.742653
7EJ0,8.522879,9.264518,2.5895653
7EJ8,7.387216,8.63307,5.6093354
7EJK,8.69897,8.583628,6.1106343
7EW2,6.782516,9.0611725,3.0938687
7EW3,6.2596374,6.9568458,1.0924902
7F58,9.0,7.257547,1.4294351
7JVR,7.331614,7.1508193,3.792329
7KQJ,7.6882463,7.642975,3.9711046
7L11,8.142668,8.406348,4.946988
7L14,8.2218485,6.4779105,2.3163388
7L5O,4.8027196,5.2150292,4.1291747
7LBR,8.2218485,6.2222767,5.598177
7LBS,8.443698,8.370813,3.154091
7LLF,9.39794,7.628391,4.32378
7LLZ,8.69897,7.462729,4.184503
7LMF,8.09691,6.75703,2.6344628
7LOS,7.767004,6.889898,3.8493254
7LTN,7.221849,6.298661,2.8285685
7LTZ,5.8961964,5.874491,2.145991
7M8M,8.115771,8.215067,1.8014905
7M8P,9.616184,8.1457615,2.911303
7M91,7.9706163,6.5329337,3.4879713
7MU5,8.013228,7.682686,2.8263657
7N44,6.853872,9.382171,5.5363646
7N4S,6.7695513,9.249668,0.70719653
7NA2,6.920819,7.3125606,7.569514
7NA3,7.60206,6.6979356,2.5994906
7NA4,7.376751,7.340593,1.6267508
7OFK,7.552842,8.331937,3.1510305
7OTY,7.1870866,4.9649467,4.8012285
7PRX,6.801343,7.175528,4.514206
7QNE,5.920819,6.4919586,4.672621
7QQ6,6.1378684,6.048677,4.876468
7RJE,6.429457,6.227962,3.3748367
7RN1,5.978811,6.573541,3.4690003
7S3K,6.4317985,5.5940223,1.1129707
7S3S,6.47237,6.365436,3.294916
7SHV,6.9469213,5.818876,1.1433293
7SLV,6.7695513,5.933971,4.5590563
7SLX,6.8632793,6.5142174,6.876059
7SLY,7.208309,7.0269685,2.4229937
7T6B,7.3565474,8.583783,2.7744534
7T6S,7.8655043,8.484286,3.6667612
7TEK,8.124939,6.348082,2.0721033
7VSI,7.552842,6.1618996,4.4319444
7VVP,6.2967086,6.8426576,2.5594883
7X2C,9.039529,7.001836,10.173902
7X2D,8.259637,8.914203,4.050342
7XR6,7.920819,7.87065,2.3811095
7XTB,9.0,6.665715,4.900193
7Y5T,8.1605215,6.708834,3.126197
7YGQ,8.229148,7.0905037,6.9331217
8DD2,8.744727,7.9483843,3.0797374
8DD3,8.522879,7.713527,3.4921238
8DOF,8.0685425,5.45754,3.0412657
