PDBID,Y,Y_mean,Y_var
7S3K,5.0655017,7.306324,1.9349867
7L14,7.879426,8.062537,2.0425916
7L10,5.6382723,6.910952,2.647274
7RMB,5.60206,5.791312,5.084041
8ACD,5.442493,4.1124573,4.1643295
7M8M,5.60206,7.1548934,4.9163413
7LTJ,6.69897,4.5900245,6.2921767
7EN9,5.395774,7.262564,3.2226458
7L0D,6.853872,9.343903,2.5141354
7S4B,6.89279,7.7541213,4.178773
7RM2,7.7447276,8.572835,13.485958
7RMT,6.7695513,9.843196,4.9082203
7S3S,5.79588,4.7238574,1.4408185
6M2N,5.7447276,5.553892,2.228017
7L12,5.6777806,6.451011,3.0878372
7RLS,6.3279023,7.6646266,4.1299896
7LME,6.920819,8.2779255,5.297638
7VTH,6.4259686,8.967431,5.0043488
7M8N,6.958607,6.820225,3.6410778
8ACL,7.0,8.682654,7.8401837
7JU7,7.4317985,8.505912,10.776721
7M8Y,6.4259686,7.762179,7.5098987
7KX5,7.60206,6.4156976,2.9246626
7N44,7.69897,9.189597,4.9243803
7EN8,7.376751,7.910976,10.418101
7VU6,7.1426673,4.6149263,2.3757308
7M8P,7.1487417,5.130728,5.9324994
7RME,5.8860564,7.8862033,2.9770052
7M91,6.161151,8.143554,6.2291155
7LMF,5.879426,7.393014,3.7787895
7LMD,6.21467,6.6082764,7.8748493
6W63,5.853872,6.7243247,2.5441825
7M8O,5.207608,5.597309,3.5221188
7M90,5.19382,6.5773783,2.7171245
7L13,5.055517,7.5364275,2.9450877
7M8X,6.39794,7.271751,4.2421637
7RMZ,6.39794,7.2402544,2.789089
7RN4,5.3018994,6.3926153,4.611469
7M8Z,6.9746943,5.734412,2.0203378
7L11,7.2006593,6.5028086,6.474799
