PDBID,Y,Y_mean,Y_var
1M17,7.949999809265137,8.29666519165039,1.8651237487792969
1XKK,8.59000015258789,7.18801736831665,0.8770273327827454
2ITO,7.269999980926514,6.335936546325684,1.2682442665100098
2ITP,8.520000457763672,8.497926712036133,0.8739413022994995
2ITT,8.699999809265137,8.666837692260742,0.9022579789161682
2ITY,7.849999904632568,6.601678848266602,2.6665637493133545
2ITZ,6.650000095367432,7.273465633392334,1.4201596975326538
2J6M,8.300000190734863,7.072378635406494,1.4860098361968994
2JIU,8.100000381469727,7.591969966888428,1.2489633560180664
3BEL,8.399999618530273,9.047338485717773,0.5931947827339172
3POZ,6.909999847412109,6.321523666381836,1.0277093648910522
3W2S,7.960000038146973,6.28352689743042,1.0797086954116821
4JQ7,9.220000267028809,7.590054988861084,0.9987162947654724
4JQ8,7.849999904632568,8.902562141418457,0.5425300598144531
4JR3,8.770000457763672,7.790437698364258,1.5519018173217773
4JRV,5.960000038146973,5.779961109161377,1.2076650857925415
4ZAU,7.170000076293945,7.417891979217529,2.061143159866333
5EDQ,6.71999979019165,5.774205684661865,1.403774380683899
5EM8,6.789999961853027,9.220316886901855,1.87571382522583
5UGB,7.559999942779541,7.017980575561523,1.1474806070327759
5X26,8.15999984741211,8.570809364318848,1.0834739208221436
5X27,7.539999961853027,7.470201015472412,1.4322009086608887
5XDK,6.659999847412109,9.482129096984863,1.3659965991973877
