PDBID,Y,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10
1M17,7.949999809265137,7.729497909545898,7.132849216461182,7.418770790100098,7.741912841796875,7.512022495269775,7.166729927062988,7.505256175994873,7.458427429199219,7.530402660369873,7.372647762298584
1XKK,8.59000015258789,6.591552734375,6.677078723907471,6.39778470993042,6.688154697418213,6.564990520477295,6.9340410232543945,6.4154133796691895,6.557861804962158,7.187712669372559,6.519244194030762
2ITO,7.269999980926514,6.519781112670898,6.953592300415039,6.152775287628174,6.496240615844727,6.386033535003662,6.744154453277588,6.257813453674316,6.512168884277344,7.00584602355957,6.384280204772949
2ITP,8.520000457763672,8.665908813476562,8.883780479431152,8.950166702270508,8.879768371582031,9.130219459533691,8.675414085388184,8.596365928649902,8.506836891174316,8.70044231414795,8.542179107666016
2ITT,8.699999809265137,6.846573829650879,7.430637836456299,7.088022708892822,6.855622291564941,7.12399959564209,6.743305683135986,6.6941819190979,7.3152360916137695,6.346171855926514,6.732675075531006
2ITY,7.849999904632568,6.532076835632324,6.43757963180542,6.688693523406982,6.77562141418457,6.867344856262207,6.818257808685303,6.030766010284424,6.76090669631958,6.0217671394348145,6.58241081237793
2ITZ,6.650000095367432,7.323095321655273,7.412740230560303,7.384896755218506,7.721526145935059,7.484131336212158,7.067305564880371,7.432366847991943,7.31458044052124,7.389024257659912,6.9781575202941895
2J6M,8.300000190734863,7.194586753845215,7.290548801422119,7.389780521392822,7.520839691162109,7.201570987701416,6.943441390991211,7.576809406280518,7.307775974273682,7.299352645874023,7.401854038238525
2JIU,8.100000381469727,7.3357744216918945,7.2351484298706055,7.199868679046631,7.410979747772217,7.650808811187744,6.857457637786865,7.248893737792969,7.314375400543213,7.3690948486328125,6.979764461517334
3BEL,8.399999618530273,7.898444175720215,8.273640632629395,8.861297607421875,8.420923233032227,8.04667854309082,8.288553237915039,8.28254508972168,8.453834533691406,8.414612770080566,8.277536392211914
3POZ,6.909999847412109,6.732781410217285,6.825793266296387,6.476797580718994,6.701918125152588,6.65890645980835,6.850419998168945,6.543570518493652,6.760406494140625,7.126457691192627,6.790307521820068
3W2S,7.960000038146973,7.432291030883789,6.800170421600342,7.403022766113281,7.4867753982543945,7.268043041229248,7.121293544769287,7.372640609741211,7.488087177276611,7.4487128257751465,7.348288059234619
4JQ7,9.220000267028809,7.616918563842773,7.674635410308838,7.681943416595459,8.043561935424805,7.606057643890381,7.228605270385742,7.936752796173096,7.556274890899658,7.77403450012207,7.769409656524658
4JQ8,7.849999904632568,7.903293609619141,8.042203903198242,7.4624714851379395,8.044512748718262,8.163025856018066,7.868386268615723,7.698483943939209,7.911609172821045,7.604639530181885,7.92113733291626
4JR3,8.770000457763672,7.459689140319824,6.714653015136719,7.270605087280273,7.5435051918029785,7.403321743011475,7.081089973449707,7.386900901794434,7.521090030670166,7.458090305328369,7.189822673797607
4JRV,5.960000038146973,6.686546325683594,7.00803279876709,6.943503379821777,7.01484489440918,7.1812920570373535,6.806426525115967,6.958584308624268,6.811415195465088,6.930359840393066,6.98888635635376
4ZAU,7.170000076293945,6.3240156173706055,6.121983051300049,5.841132164001465,6.016195297241211,6.43618106842041,6.290700435638428,6.121090888977051,6.418895244598389,6.204982280731201,6.532609462738037
5EDQ,6.71999979019165,6.822619438171387,6.794766902923584,6.749123573303223,6.944363594055176,6.944870471954346,7.1032562255859375,6.702124118804932,6.8164544105529785,6.643829822540283,6.65216588973999
5EM8,6.789999961853027,7.702557563781738,8.077248573303223,8.135984420776367,7.890193462371826,7.577928066253662,7.458126068115234,7.8654327392578125,7.872096538543701,7.9442057609558105,7.8475470542907715
5UGB,7.559999942779541,7.37436580657959,6.859175682067871,7.383759021759033,7.432088375091553,7.3551177978515625,7.132317066192627,7.509449481964111,7.486535549163818,7.509716033935547,7.231078624725342
5X26,8.15999984741211,8.02608871459961,8.507012367248535,8.133045196533203,8.286498069763184,7.9717020988464355,8.177457809448242,8.483363151550293,7.794381141662598,7.946496486663818,8.205256462097168
5X27,7.539999961853027,7.004158020019531,6.842484951019287,7.112219333648682,7.244872093200684,7.26034688949585,6.778822898864746,6.960270404815674,7.3580498695373535,7.229044437408447,6.7115044593811035
5XDK,6.659999847412109,7.262449264526367,7.604968547821045,7.141117572784424,7.767402648925781,7.888024806976318,7.204365253448486,7.620181083679199,7.241259574890137,7.43330192565918,7.005775451660156
