PDBID,Y,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10
7S3K,5.065501689910889,7.259302139282227,7.297489643096924,6.741607666015625,7.2636919021606445,7.346334934234619,7.366413593292236,7.276279926300049,7.1241350173950195,7.174530506134033,7.290236949920654
7L14,7.879426002502441,7.6679277420043945,8.068415641784668,7.484837532043457,7.376124858856201,7.790338039398193,7.858066558837891,7.544225692749023,8.406009674072266,7.788192272186279,7.3270134925842285
7L10,5.638272285461426,6.9394941329956055,6.834258556365967,6.46932315826416,5.9135284423828125,6.713674545288086,7.22275447845459,6.308701515197754,6.705114841461182,6.756833553314209,6.95204496383667
7RMB,5.602059841156006,6.767538070678711,6.329221725463867,5.534068584442139,5.8779802322387695,6.243258953094482,6.68419885635376,6.102169513702393,6.011708736419678,6.523169040679932,5.779194355010986
8ACD,5.442492961883545,5.223512649536133,5.468674659729004,5.912685871124268,5.447233200073242,5.7861151695251465,5.782932281494141,5.6716203689575195,5.671093463897705,5.406558513641357,5.5369391441345215
7M8M,5.602059841156006,6.117955207824707,7.003761291503906,6.969935417175293,6.85405158996582,6.324489116668701,6.954495429992676,6.39758825302124,6.7245707511901855,6.370300769805908,6.34802770614624
7LTJ,6.698969841003418,6.379656791687012,6.230320453643799,6.294314861297607,5.666630744934082,7.019231796264648,6.835328102111816,6.247196197509766,5.666615009307861,6.229416370391846,6.033272743225098
7EN9,5.395773887634277,7.168156623840332,6.895798206329346,6.873231410980225,6.439602851867676,7.01293420791626,6.842903137207031,6.677914142608643,6.749350070953369,6.7076945304870605,6.329411029815674
7L0D,6.853871822357178,7.452244758605957,7.699469566345215,7.322089672088623,7.3419294357299805,7.489299297332764,7.669981002807617,7.013063907623291,6.554408550262451,7.484218120574951,7.140289783477783
7S4B,6.892789840698242,7.285101890563965,7.968447685241699,7.669126987457275,7.455351829528809,8.131020545959473,7.630921363830566,7.3214640617370605,8.232437133789062,7.740341663360596,7.574728488922119
7RM2,7.744727611541748,7.430421829223633,8.191932678222656,7.533520221710205,7.460671901702881,8.314850807189941,7.633196830749512,7.2759928703308105,7.946119785308838,7.534785747528076,7.486749649047852
7RMT,6.7695512771606445,8.011241912841797,8.03134536743164,7.457374572753906,7.5344953536987305,7.717546463012695,7.6955413818359375,7.756733417510986,7.395993709564209,7.796594142913818,7.523598670959473
7S3S,5.79587984085083,5.610248565673828,5.2477874755859375,5.711246013641357,5.391697406768799,5.746431350708008,5.217979431152344,5.664853572845459,5.591722011566162,5.639201641082764,5.482493877410889
6M2N,5.744727611541748,6.070252418518066,5.910451889038086,6.120715618133545,5.988162040710449,6.263427257537842,5.891955375671387,6.259565830230713,6.0351080894470215,6.124339580535889,6.089483261108398
7L12,5.677780628204346,5.280917167663574,5.438739776611328,5.377333164215088,5.477662086486816,5.488739490509033,5.5899481773376465,5.462286472320557,5.460698127746582,5.2697672843933105,5.116844654083252
7RLS,6.327902317047119,6.562110900878906,6.845402240753174,6.856940746307373,6.620279312133789,6.985859394073486,6.649379730224609,6.735030651092529,6.146533966064453,6.691670894622803,6.560992240905762
7LME,6.92081880569458,6.971149444580078,7.749301910400391,6.816286563873291,7.153368949890137,7.481844425201416,6.8789167404174805,6.126572608947754,7.009624004364014,7.303617000579834,7.142867565155029
7VTH,6.425968647003174,7.2961931228637695,7.5846452713012695,7.304849147796631,6.871880531311035,7.4961018562316895,7.342100143432617,6.395080089569092,7.221512317657471,7.03021764755249,7.242319583892822
7M8N,6.958607196807861,6.691262245178223,7.562166213989258,7.280089855194092,7.208413600921631,7.628169059753418,6.8802385330200195,6.937133312225342,7.290805339813232,7.276200771331787,7.153066635131836
8ACL,7.0,7.853597640991211,8.426337242126465,7.732171535491943,7.976095199584961,8.281210899353027,7.586726188659668,7.129133701324463,8.001175880432129,7.9108476638793945,7.750214099884033
7JU7,7.431798458099365,6.893244743347168,7.615044116973877,7.210316181182861,7.253798484802246,7.94403076171875,7.203863143920898,7.041616916656494,7.354119777679443,7.317505359649658,7.466136455535889
7M8Y,6.425968647003174,7.049736022949219,7.72028112411499,6.812220096588135,6.965923309326172,7.620266437530518,7.049381256103516,7.160035133361816,7.481007099151611,7.309523105621338,7.373921871185303
7KX5,7.602059841156006,6.403946876525879,6.578784465789795,7.009853839874268,6.733808517456055,6.994872570037842,6.438534736633301,6.613226890563965,6.946610450744629,6.489344120025635,6.475259304046631
7N44,7.698969841003418,7.695440292358398,7.992812156677246,7.70088529586792,7.721880912780762,8.475059509277344,7.9667649269104,7.463195323944092,7.972931385040283,7.469759464263916,7.676628112792969
7EN8,7.376750946044922,7.513741493225098,7.588756084442139,6.917909145355225,7.063241958618164,7.347652912139893,7.335944175720215,6.818292617797852,7.287643909454346,7.36915397644043,7.140600681304932
7VU6,7.142667293548584,6.54885196685791,6.839738368988037,6.329495906829834,6.66219425201416,6.201634883880615,6.3459062576293945,6.165023326873779,5.638587474822998,5.904334545135498,6.566576957702637
7M8P,7.148741722106934,7.667642593383789,7.353471279144287,6.453266620635986,6.853277206420898,7.523491382598877,7.37692403793335,6.666306972503662,6.544715881347656,6.216928958892822,7.523285865783691
7RME,5.886056423187256,7.028580665588379,7.48414945602417,6.940479278564453,6.398397445678711,7.2576117515563965,7.19753360748291,6.959929943084717,6.935873031616211,6.981629848480225,7.190834999084473
7M91,6.161150932312012,7.529461860656738,7.904862880706787,7.282079219818115,7.176814556121826,7.852440357208252,7.652005195617676,7.37694787979126,7.437190532684326,7.460738658905029,7.611693859100342
7LMF,5.879426002502441,6.867963790893555,7.624573707580566,6.873291492462158,6.644871711730957,7.063558101654053,7.230318546295166,6.958166599273682,6.837013244628906,6.753350734710693,7.11306619644165
7LMD,6.214670181274414,6.569612503051758,7.120733261108398,7.146850109100342,6.707735061645508,7.092676639556885,6.96921443939209,6.9529595375061035,6.768495082855225,6.927536487579346,7.312212944030762
