PDBID,Y,Y_mean,Y_var
5SDZ,7.853871822357178,8.127279281616211,3.1635050773620605
5SE0,7.3565473556518555,5.548949241638184,5.212954998016357
5SE1,9.886056900024414,7.613090515136719,3.325716018676758
5SE5,7.552842140197754,6.826080322265625,4.588073253631592
5SE9,9.187087059020996,6.268603324890137,3.7249345779418945
5SEB,4.676372528076172,6.964046478271484,5.784130096435547
5SEF,8.366531372070312,7.884133338928223,5.6663594245910645
5SEJ,3.602060079574585,7.001645088195801,1.8001768589019775
5SEM,7.187086582183838,4.5504469871521,3.7985713481903076
5SEQ,8.091514587402344,7.684287071228027,1.5214506387710571
5SET,3.774690628051758,5.345144748687744,5.498351097106934
5SEW,6.669992446899414,6.106533050537109,2.7096357345581055
5SF1,8.086186408996582,8.387913703918457,4.150693893432617
5SF4,8.30980396270752,7.770679473876953,4.548672676086426
5SF6,8.449771881103516,5.856049060821533,1.8673688173294067
5SF8,6.001740455627441,3.5677590370178223,3.842162609100342
5SFB,8.30980396270752,6.333897113800049,2.8483147621154785
5SFD,7.980053424835205,4.953418731689453,4.945748805999756
5SFF,5.686132907867432,5.663633346557617,4.725121974945068
5SFH,7.970616340637207,8.031522750854492,2.140997886657715
5SFI,7.070580959320068,5.746706962585449,5.171645164489746
5SFL,8.301030158996582,8.446585655212402,1.6658248901367188
5SFN,8.698969841003418,8.814743995666504,1.5330592393875122
5SFS,9.0,9.055821418762207,2.454606533050537
5SFT,7.501689434051514,7.558643341064453,2.5154242515563965
5SFU,8.920818328857422,8.193830490112305,2.046595573425293
5SFW,7.728158473968506,7.894684791564941,1.4690179824829102
5SG1,7.0565056800842285,7.491392135620117,2.1561379432678223
5SG6,7.863279342651367,7.5430731773376465,2.4427170753479004
5SG9,8.508638381958008,7.844533920288086,2.366548538208008
5SGN,7.714442729949951,7.472230911254883,2.631910800933838
5SGT,8.677781105041504,7.860995292663574,2.1675872802734375
5SGX,8.346787452697754,7.752597808837891,2.3305208683013916
5SH3,8.346787452697754,8.018664360046387,2.2021937370300293
5SH9,8.537602424621582,8.1338529586792,2.4917116165161133
5SHA,8.09691047668457,6.0347371101379395,6.988816261291504
5SHD,7.79587984085083,7.258079528808594,1.536874771118164
5SHT,9.327901840209961,8.557332992553711,1.167870283126831
5SIB,7.06048059463501,8.010547637939453,0.7431612014770508
5SIJ,8.823908805847168,7.834432601928711,3.7095789909362793
5SJG,8.508638381958008,7.490091323852539,2.26656436920166
5SJL,6.539102077484131,7.88737678527832,6.122762680053711
5SJS,4.225482940673828,4.139608383178711,7.477848052978516
5SKK,7.374070644378662,7.395768165588379,2.9398841857910156
5SKV,8.239577293395996,8.160176277160645,2.8150112628936768
6LR4,7.211760997772217,7.682366847991943,2.6034886837005615
6M2B,8.57186508178711,8.015477180480957,2.5237607955932617
6TRX,7.202870845794678,7.684698104858398,2.9716079235076904
6VNE,7.428757190704346,8.522725105285645,2.6955180168151855
6WTN,8.026410102844238,8.41783618927002,3.2077925205230713
6X0T,7.499626159667969,8.617023468017578,2.602259397506714
6ZY5,8.30980396270752,8.34721851348877,2.5192084312438965
7B91,7.534616947174072,7.933717250823975,2.217609405517578
7CA8,7.972650527954102,8.162582397460938,2.3460185527801514
7CKY,8.26280689239502,8.290728569030762,2.638432025909424
7CMU,7.562566757202148,8.121259689331055,2.994692325592041
7CMV,7.317854881286621,8.353851318359375,3.7573699951171875
7CX2,6.275723934173584,6.776253700256348,3.6090316772460938
7DFL,7.408935546875,7.909540176391602,2.436971664428711
7DMC,7.732828140258789,7.706562042236328,2.601731777191162
7EJ0,8.522878646850586,9.053603172302246,2.3039803504943848
7EJ8,7.387216091156006,8.640294075012207,2.572205066680908
7EJK,8.698969841003418,8.614526748657227,2.1925559043884277
7EW2,6.782516002655029,8.60000228881836,2.7491798400878906
7EW3,6.259637355804443,7.34956693649292,2.783139944076538
7F58,9.0,8.16006088256836,3.336674451828003
7JVR,7.331614017486572,8.456501960754395,3.1868038177490234
7KQJ,7.688246250152588,8.671197891235352,1.615546703338623
7L11,8.142667770385742,8.581883430480957,0.7342192530632019
7L14,8.221848487854004,6.142058372497559,10.05864429473877
7L5O,4.802719593048096,4.706696510314941,3.8275537490844727
7LBR,8.221848487854004,6.567127227783203,5.175277233123779
7LBS,8.443697929382324,7.0073747634887695,3.889185667037964
7LLF,9.397939682006836,6.400420188903809,3.309574842453003
7LLZ,8.698969841003418,7.23707389831543,2.8933939933776855
