PDBID,Y,Y_mean,Y_var
1M17,7.949999809265137,7.733038902282715,1.4863088130950928
1XKK,8.59000015258789,7.039360523223877,2.6802806854248047
2ITO,7.269999980926514,6.557018280029297,2.970912456512451
2ITP,8.520000457763672,8.433707237243652,2.500385284423828
2ITT,8.699999809265137,7.0338335037231445,3.437051296234131
2ITY,7.849999904632568,6.960366725921631,3.276298999786377
2ITZ,6.650000095367432,7.364832878112793,1.5333006381988525
2J6M,8.300000190734863,7.575867652893066,1.303249716758728
2JIU,8.100000381469727,7.2390594482421875,4.1999287605285645
3BEL,8.399999618530273,8.645707130432129,3.32076096534729
3POZ,6.909999847412109,6.950994491577148,2.6742658615112305
3W2S,7.960000038146973,7.563181400299072,1.6361668109893799
4JQ7,9.220000267028809,7.961270332336426,1.3153307437896729
4JQ8,7.849999904632568,8.589201927185059,3.3707408905029297
4JR3,8.770000457763672,7.6005096435546875,1.6171338558197021
4JRV,5.960000038146973,6.716789722442627,1.5620501041412354
4ZAU,7.170000076293945,6.167440414428711,4.243962287902832
5EDQ,6.71999979019165,7.123836040496826,3.002338171005249
5EM8,6.789999961853027,8.086668968200684,1.9085346460342407
5UGB,7.559999942779541,7.525969505310059,2.0738720893859863
5X26,8.15999984741211,8.511666297912598,2.8901638984680176
5X27,7.539999961853027,7.054149150848389,3.873352527618408
5XDK,6.659999847412109,7.4108476638793945,2.3456344604492188
