PDBID,Y,Y_mean,Y_var
7S3K,5.065501689910889,7.089347839355469,4.209763526916504
7L14,7.879426002502441,7.9821953773498535,5.708183288574219
7L10,5.638272285461426,6.742275238037109,7.026671886444092
7RMB,5.602059841156006,6.344660758972168,6.043819427490234
8ACD,5.442492961883545,5.951990127563477,2.284620761871338
7M8M,5.602059841156006,6.852399826049805,3.220167636871338
7LTJ,6.698969841003418,6.526457786560059,6.193991661071777
7EN9,5.395773887634277,6.459697246551514,3.9468002319335938
7L0D,6.853871822357178,6.718562126159668,5.893181800842285
7S4B,6.892789840698242,7.878852367401123,4.772302627563477
7RM2,7.744727611541748,7.644684314727783,4.710153102874756
7RMT,6.7695512771606445,7.231240749359131,4.771993160247803
7S3S,5.79587984085083,5.634159564971924,2.0124764442443848
6M2N,5.744727611541748,6.033151626586914,1.7506587505340576
7L12,5.677780628204346,5.572755813598633,1.9507157802581787
7RLS,6.327902317047119,5.902115821838379,5.716209888458252
7LME,6.92081880569458,7.388575553894043,5.73660945892334
7VTH,6.425968647003174,7.559752464294434,5.621634006500244
7M8N,6.958607196807861,7.4619622230529785,4.34830379486084
8ACL,7.0,8.272662162780762,4.5570526123046875
7JU7,7.431798458099365,7.49015998840332,3.9663827419281006
7M8Y,6.425968647003174,7.669155120849609,8.692174911499023
7KX5,7.602059841156006,6.709695816040039,8.095158576965332
7N44,7.698969841003418,7.985435485839844,3.9264421463012695
7EN8,7.376750946044922,6.923335075378418,5.799172401428223
7VU6,7.142667293548584,6.877782821655273,5.865764617919922
7M8P,7.148741722106934,7.066808700561523,8.214506149291992
7RME,5.886056423187256,6.944404602050781,5.44777774810791
7M91,6.161150932312012,7.4210662841796875,4.930856704711914
7LMF,5.879426002502441,7.045709609985352,4.903864860534668
7LMD,6.214670181274414,7.171004772186279,5.190232276916504
6W63,5.853871822357178,6.575272560119629,5.280236721038818
7M8O,5.207608222961426,5.883311748504639,4.378060817718506
7M90,5.193819999694824,6.680014610290527,4.644330978393555
7L13,5.055517196655273,7.103405952453613,5.110328674316406
7M8X,6.397940158843994,7.004256248474121,3.723334312438965
7RMZ,6.397940158843994,6.807093620300293,5.304766654968262
7RN4,5.301899433135986,6.18826961517334,3.724717140197754
7M8Z,6.97469425201416,5.778542518615723,6.732204437255859
7L11,7.200659275054932,5.981854438781738,5.460068225860596
