PDBID,Y,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10
5SDZ,7.853871822357178,7.906296730041504,7.839659690856934,7.9708251953125,8.804898262023926,6.630405426025391,7.48898983001709,7.972696304321289,8.729872703552246,8.68217945098877,7.719048023223877
5SE0,7.3565473556518555,5.802219390869141,5.46568489074707,4.762147903442383,4.974328994750977,5.668190002441406,5.4897379875183105,5.304118633270264,6.167801380157471,5.407259464263916,6.226870536804199
5SE1,9.886056900024414,8.006669998168945,7.806086540222168,8.083993911743164,8.192001342773438,8.474980354309082,8.602644920349121,6.982601642608643,7.463155746459961,7.679365158081055,8.284351348876953
5SE5,7.552842140197754,7.529694557189941,7.366307258605957,6.635644435882568,7.35293436050415,6.747053146362305,7.562266826629639,7.060218811035156,7.3686723709106445,7.368035316467285,7.259903430938721
5SE9,9.187087059020996,6.393057823181152,5.185812950134277,6.310255527496338,7.037165641784668,5.076766014099121,5.8961992263793945,6.1828789710998535,4.999106407165527,6.593278884887695,6.460358142852783
5SEB,4.676372528076172,8.248321533203125,7.2870659828186035,7.980557441711426,6.853785514831543,6.788318634033203,7.130199432373047,6.921331882476807,7.550726890563965,5.818938255310059,6.750083923339844
5SEF,8.366531372070312,7.961291313171387,7.842719078063965,7.877773284912109,7.805944919586182,7.310466289520264,8.492255210876465,7.7741594314575195,7.72380256652832,7.727351188659668,8.167407035827637
5SEJ,3.602060079574585,7.415164947509766,6.186710357666016,6.675356864929199,7.7889299392700195,6.403682708740234,6.501923561096191,7.272550106048584,5.877678394317627,7.636566162109375,7.465784072875977
5SEM,7.187086582183838,5.002004623413086,4.655141830444336,4.636675834655762,4.965720176696777,4.169376850128174,6.307488441467285,4.322085380554199,3.6754870414733887,4.044872283935547,5.067109107971191
5SEQ,8.091514587402344,7.012048244476318,8.153971672058105,8.679388999938965,8.029178619384766,7.954193115234375,7.745205879211426,8.735228538513184,8.381108283996582,6.3694000244140625,8.099851608276367
5SET,3.774690628051758,5.389949798583984,5.766354560852051,6.316165924072266,5.126965522766113,5.029590606689453,6.117262840270996,6.2365217208862305,5.831798553466797,4.437708854675293,4.974348545074463
5SEW,6.669992446899414,5.678961277008057,5.936766624450684,5.321254253387451,6.450070381164551,5.242613315582275,5.870738983154297,5.981529712677002,6.114720344543457,5.861595153808594,5.404658317565918
5SF1,8.086186408996582,8.653583526611328,9.238648414611816,8.061809539794922,7.586251735687256,7.983893871307373,7.859047889709473,9.517483711242676,7.419814586639404,8.51604175567627,8.26488971710205
5SF4,8.30980396270752,7.409193992614746,8.365910530090332,8.088960647583008,6.910401344299316,7.882234573364258,7.597567558288574,7.409964084625244,8.5738525390625,8.664283752441406,8.24051570892334
5SF6,8.449771881103516,6.642828941345215,6.622297286987305,4.837177276611328,6.380148887634277,6.1861572265625,6.31594705581665,4.734216690063477,5.746201515197754,5.396200656890869,5.88205623626709
5SF8,6.001740455627441,2.650365114212036,4.059422492980957,3.841259002685547,3.234241008758545,3.30735445022583,3.7373268604278564,3.2831368446350098,1.7344274520874023,4.410975456237793,3.751286029815674
