PDBID,Y,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10
1M17,7.949999809265137,7.133975028991699,8.242119789123535,7.477842807769775,6.84584903717041,8.23503303527832,7.792348384857178,7.935193061828613,8.087373733520508,8.426435470581055,6.8219780921936035
1XKK,8.59000015258789,6.876646995544434,8.38815975189209,7.1543121337890625,6.645125389099121,6.686570167541504,6.672231197357178,6.7599897384643555,6.906414031982422,6.966167449951172,8.28063678741455
2ITO,7.269999980926514,6.404488563537598,5.7557878494262695,6.942285537719727,7.562841892242432,7.446708679199219,6.299098491668701,6.884618282318115,6.314058303833008,6.360429763793945,6.017755508422852
2ITP,8.520000457763672,8.1156587600708,8.144829750061035,8.187370300292969,9.220233917236328,9.032817840576172,9.012995719909668,9.082476615905762,8.668085098266602,8.497772216796875,9.479756355285645
2ITT,8.699999809265137,6.6591949462890625,7.586180686950684,7.264798164367676,6.749283790588379,6.876185894012451,7.105873107910156,7.112394332885742,6.188396453857422,7.085757255554199,6.438388824462891
2ITY,7.849999904632568,7.437331199645996,7.8742780685424805,6.708215236663818,6.229065895080566,8.074337005615234,6.745536804199219,7.599635601043701,6.914422035217285,6.985234260559082,6.786558628082275
2ITZ,6.650000095367432,6.036388874053955,7.574952125549316,6.31919527053833,6.399392127990723,7.007532119750977,7.701905250549316,6.4612274169921875,8.81518840789795,8.010149002075195,7.233330726623535
2J6M,8.300000190734863,7.966349124908447,8.450231552124023,7.857672214508057,8.3754301071167,7.051713943481445,8.01386547088623,8.199636459350586,7.218817710876465,7.282388687133789,7.491974353790283
2JIU,8.100000381469727,6.8497185707092285,7.306051254272461,8.182531356811523,6.442559719085693,6.765232086181641,6.0737409591674805,7.804652690887451,7.298135757446289,8.074797630310059,7.664296627044678
3BEL,8.399999618530273,9.24801254272461,9.404860496520996,9.09268856048584,8.400126457214355,9.312317848205566,8.94929027557373,8.681990623474121,8.980925559997559,8.904812812805176,9.428553581237793
3POZ,6.909999847412109,6.6662163734436035,6.470186233520508,7.852720260620117,8.000015258789062,7.504472255706787,5.91715145111084,6.306122779846191,6.860263824462891,6.454859733581543,7.652888298034668
3W2S,7.960000038146973,7.22517728805542,7.4757537841796875,8.023703575134277,7.5597429275512695,7.9155473709106445,7.955298900604248,7.793822288513184,7.512732982635498,6.492820739746094,7.17814826965332
4JQ7,9.220000267028809,8.008586883544922,8.193134307861328,7.368016242980957,7.697431564331055,9.20410442352295,8.742218971252441,8.365690231323242,7.448414325714111,7.002899169921875,7.451085090637207
4JQ8,7.849999904632568,9.698972702026367,7.503018379211426,10.090880393981934,8.160516738891602,8.228988647460938,8.060592651367188,9.647089004516602,8.031133651733398,8.278641700744629,8.622353553771973
4JR3,8.770000457763672,7.337417125701904,8.721860885620117,7.2382659912109375,7.689062118530273,8.521196365356445,7.91100549697876,7.930522441864014,7.356359481811523,7.584800720214844,6.5522565841674805
4JRV,5.960000038146973,6.725395202636719,6.005776405334473,7.306146621704102,6.666606903076172,6.4589996337890625,6.955799579620361,5.914894104003906,8.24199390411377,5.970407485961914,5.79028844833374
4ZAU,7.170000076293945,6.607359409332275,7.503807067871094,5.168286323547363,7.0825090408325195,7.360864162445068,5.934823989868164,5.807253837585449,6.547746658325195,6.1062912940979,5.873446941375732
5EDQ,6.71999979019165,7.333439350128174,7.015125751495361,7.67396354675293,6.55354118347168,7.0039544105529785,7.842864513397217,8.072879791259766,5.853705883026123,6.049508571624756,6.087136745452881
5EM8,6.789999961853027,7.704895973205566,7.485775947570801,7.5447163581848145,7.121298313140869,8.761857032775879,7.4729084968566895,8.3660249710083,8.265286445617676,7.935372829437256,8.619004249572754
5UGB,7.559999942779541,7.316282749176025,6.968250274658203,7.429441452026367,8.132817268371582,6.63855504989624,6.945988655090332,8.065732955932617,7.077668190002441,6.608394145965576,6.167845726013184
5X26,8.15999984741211,8.574007034301758,8.894316673278809,8.850102424621582,8.510475158691406,8.822964668273926,9.023860931396484,8.692827224731445,9.276203155517578,8.414336204528809,9.12954044342041
5X27,7.539999961853027,6.1741790771484375,7.362785816192627,7.401050567626953,6.960654258728027,6.76685905456543,7.0908894538879395,7.200909614562988,7.4743757247924805,6.7330241203308105,6.308085918426514
5XDK,6.659999847412109,6.544486999511719,8.316502571105957,8.06981086730957,7.854643821716309,7.557819366455078,7.785901069641113,6.148738384246826,6.68039608001709,7.104519844055176,8.14816951751709
