PDBID,Y,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10
7S3K,5.065501689910889,7.137149333953857,6.694816589355469,7.036243438720703,7.437258720397949,7.080707550048828,5.333352565765381,6.245589733123779,6.544965744018555,6.412955284118652,8.476022720336914
7L14,7.879426002502441,8.37682056427002,7.411210060119629,8.130887985229492,8.707108497619629,9.023093223571777,8.44417667388916,7.884618759155273,7.222980499267578,9.605802536010742,6.689037322998047
7L10,5.638272285461426,7.323390483856201,5.712535381317139,5.472855567932129,7.022114276885986,5.506959438323975,6.9558868408203125,5.254592418670654,5.651721000671387,6.659688949584961,5.162924289703369
7RMB,5.602059841156006,6.310240745544434,6.281391143798828,5.527113914489746,6.314981937408447,6.81919002532959,4.881464004516602,6.002137184143066,5.677399158477783,6.736162185668945,6.408350467681885
8ACD,5.442492961883545,6.223568439483643,5.5153679847717285,6.008602619171143,5.1663289070129395,5.792362213134766,5.522050857543945,6.504116058349609,6.276082992553711,4.363033294677734,4.830180644989014
7M8M,5.602059841156006,6.769164085388184,6.51710319519043,7.139793395996094,5.893965244293213,6.189915657043457,5.89695405960083,5.999868869781494,7.690637588500977,6.528512954711914,7.98543643951416
7LTJ,6.698969841003418,5.755119800567627,5.404070854187012,7.539889335632324,5.682503700256348,5.420610427856445,6.988961219787598,6.851729393005371,6.144079685211182,6.574648380279541,5.737689018249512
7EN9,5.395773887634277,6.193650245666504,7.815919399261475,6.322444915771484,6.501998424530029,5.9585700035095215,5.866012096405029,6.818107604980469,6.944836616516113,5.257591247558594,5.934797286987305
7L0D,6.853871822357178,5.528146266937256,5.602940559387207,6.300482273101807,5.399217128753662,7.03062629699707,4.790485382080078,7.131372451782227,4.971578598022461,5.624223709106445,6.273091793060303
7S4B,6.892789840698242,7.169185161590576,9.022608757019043,8.982028007507324,7.6825056076049805,6.6570820808410645,7.176867485046387,7.410861015319824,7.459645748138428,8.101812362670898,7.345525741577148
7RM2,7.744727611541748,7.895046234130859,7.309175491333008,6.501609802246094,7.9792094230651855,8.073344230651855,6.719714164733887,7.575261116027832,7.707392692565918,7.902875900268555,8.81606388092041
7RMT,6.7695512771606445,7.060279369354248,7.135237693786621,7.4526824951171875,7.360599040985107,7.5378522872924805,7.230744361877441,7.31406307220459,6.688621997833252,7.3237762451171875,7.10257625579834
7S3S,5.79587984085083,6.198176860809326,6.554778575897217,6.211764335632324,5.035221099853516,5.944146156311035,5.852459907531738,6.575281143188477,5.345306873321533,6.1563897132873535,5.977518558502197
6M2N,5.744727611541748,5.37722110748291,5.591115951538086,6.4120049476623535,6.887409210205078,5.277751922607422,5.979153633117676,6.6095123291015625,5.241144180297852,5.955987930297852,6.959266185760498
7L12,5.677780628204346,5.977300643920898,4.489346504211426,5.819841384887695,5.273100852966309,5.551924705505371,4.670396327972412,6.589395999908447,5.828171730041504,5.254462242126465,6.135869026184082
7RLS,6.327902317047119,5.957537651062012,5.694928169250488,6.621963024139404,6.509347915649414,6.118295669555664,4.647639274597168,6.283998489379883,6.444994926452637,7.420746803283691,5.640595436096191
7LME,6.92081880569458,6.2992401123046875,7.74346923828125,5.894702434539795,8.368447303771973,7.038959980010986,7.190521240234375,7.078349590301514,6.785531044006348,7.600529670715332,6.627835273742676
7VTH,6.425968647003174,6.225255966186523,6.264374732971191,7.6409101486206055,5.923360347747803,7.517252445220947,6.498811721801758,8.9115629196167,8.53943920135498,7.809338569641113,8.541098594665527
7M8N,6.958607196807861,7.71514892578125,7.225203037261963,7.1731858253479,6.432404518127441,6.955697059631348,7.200508117675781,7.637191295623779,6.315404891967773,8.398127555847168,8.220687866210938
8ACL,7.0,9.277085304260254,9.32919979095459,9.514281272888184,8.756916999816895,8.85295581817627,7.1554765701293945,6.418772220611572,8.776936531066895,10.392571449279785,8.703875541687012
7JU7,7.431798458099365,7.9601240158081055,7.033472061157227,7.036399841308594,7.524187088012695,7.388946533203125,7.554003715515137,8.565594673156738,7.01603364944458,7.750932693481445,8.259729385375977
7M8Y,6.425968647003174,6.573941707611084,7.4787492752075195,8.16790771484375,7.229890823364258,7.509640216827393,8.00291919708252,7.6581807136535645,9.010298728942871,8.031365394592285,7.033995628356934
7KX5,7.602059841156006,7.1187286376953125,7.300695419311523,6.424614906311035,7.185416221618652,6.908542156219482,8.024245262145996,6.894396781921387,6.8904314041137695,7.330791473388672,7.573356628417969
7N44,7.698969841003418,7.382699012756348,8.728757858276367,8.71512508392334,7.3441314697265625,8.193163871765137,7.422693252563477,9.063721656799316,7.304455757141113,8.006680488586426,7.703017234802246
7EN8,7.376750946044922,8.468772888183594,6.917503833770752,6.328254699707031,6.215460777282715,6.200938701629639,6.483841419219971,5.923398971557617,7.7284836769104,7.980930328369141,5.333527565002441
7VU6,7.142667293548584,5.707517623901367,5.906240463256836,7.329590797424316,6.70993709564209,7.457253456115723,7.463080406188965,6.925872325897217,7.791568279266357,7.116964340209961,5.290035247802734
7M8P,7.148741722106934,8.439933776855469,7.637333869934082,7.550736427307129,6.633050441741943,7.088089466094971,5.67167854309082,7.052322864532471,7.40601110458374,6.494862079620361,5.863763809204102
7RME,5.886056423187256,6.713696479797363,7.6647443771362305,7.397700309753418,8.178081512451172,6.544454574584961,7.017116546630859,7.95826530456543,6.285585403442383,7.265919208526611,7.595376968383789
7M91,6.161150932312012,7.229609966278076,8.51697826385498,7.211583137512207,7.246474266052246,7.4293413162231445,6.114222526550293,7.268904209136963,6.945981502532959,6.9373369216918945,8.279308319091797
7LMF,5.879426002502441,7.351475715637207,6.723907470703125,7.993436813354492,6.967093467712402,7.169925689697266,5.535490989685059,6.589762210845947,6.349181652069092,5.933162689208984,7.074913501739502
7LMD,6.214670181274414,6.5655670166015625,7.198605060577393,6.821055889129639,6.256954193115234,7.210214614868164,7.092268943786621,5.748345375061035,6.315643310546875,7.322566986083984,6.527026176452637
6W63,5.853871822357178,5.836038589477539,6.076411247253418,5.6584248542785645,5.858493804931641,6.025644302368164,7.128884792327881,5.6731438636779785,6.080796718597412,7.114545822143555,6.459768295288086
7M8O,5.207608222961426,5.868441581726074,6.097833633422852,4.076233863830566,5.8335280418396,5.9054155349731445,5.564410209655762,6.237311363220215,5.918160438537598,5.193202018737793,5.771353721618652
7M90,5.193819999694824,5.973236083984375,6.061978340148926,6.671825408935547,7.251288414001465,6.403756141662598,6.767753601074219,7.126007556915283,7.468680381774902,6.771538734436035,6.736875534057617
7L13,5.055517196655273,7.443055629730225,7.306611061096191,7.311704158782959,7.112824440002441,7.088460922241211,6.881383895874023,8.127731323242188,5.646011829376221,6.228798866271973,7.907652854919434
7M8X,6.397940158843994,8.219395637512207,8.171347618103027,7.288263320922852,6.8471574783325195,6.300396919250488,7.458322525024414,5.614084243774414,6.0581769943237305,6.172029972076416,7.358122825622559
7RMZ,6.397940158843994,7.334100246429443,6.867422103881836,6.332763671875,6.550024032592773,6.786980152130127,6.536040306091309,5.869936943054199,8.018754959106445,7.776470184326172,6.076720237731934
7RN4,5.301899433135986,6.666843414306641,5.275386333465576,6.660674571990967,6.004582405090332,5.890920639038086,5.991236686706543,7.144589424133301,6.640819072723389,5.428896427154541,5.789997100830078
7M8Z,6.97469425201416,7.382291793823242,6.0243024826049805,4.2367143630981445,6.677790641784668,6.514942169189453,3.6943297386169434,4.323011875152588,6.0641069412231445,6.750470161437988,4.828146934509277
7L11,7.200659275054932,5.6179304122924805,5.427359104156494,6.2444915771484375,5.164475917816162,5.217905044555664,6.944031715393066,6.500521659851074,5.804241180419922,5.930484771728516,7.076690673828125
